"Day","Cash On Hand"
1,3487400
2,3095680
3,2102350
4,811364
5,598614
6,230429
7,339645
8,185570
9,195723
10,367803
11,382215
12,86923
13,1033908
14,1280529
15,341945
16,57238
17,451103
18,409233
19,192221
20,636986
21,99243
22,808085
23,1513083
24,1537608
25,1815419
26,1279549
27,1537993
28,2761574
29,3063748
30,2452611
31,2520657
32,3919000
33,4274503
34,4473161
35,5094841
36,5342614
37,6183421
38,7293652
39,8596003
40,8089210
41,8757270
42,8833140
43,9678005
44,9445172
45,9610233
46,10738333
47,10859603
48,10217723
49,10652329
50,10649240
51,10670991
52,11930441
53,12088603
54,12392511
55,12291107
56,12225408
57,12367326
58,12851832
59,13297170
60,13884042
61,14273651
62,14402308
63,14429836
64,14451998
65,14611507
66,14643615
67,15275265
68,14730995
69,14064631
70,14496460
71,14882169
72,15603843
73,15336599
74,15680961
75,16301412
76,16921738
77,15008409
78,14347140
79,15827532
80,16046748
81,17607480
82,17680321
83,17683443
84,17253475
85,17570854
86,18139519
87,17990621
88,17811720
89,18831578
90,19409348
