Day,Sales,Trading Profit,Operating Expense,Net Profit
1,0,0,12600,-12600
2,0,0,404320,-404320
3,0,0,578412,-578412
4,99497,36777,647854,-611077
5,265087,100072,749078,-649006
6,448921,172649,834330,-661681
7,632950,248764,904932,-656168
8,814647,326147,962534,-636387
9,997750,404433,1056836,-652403
10,2006309,853313,1090296,-236983
11,3025487,1315210,1150042,165168
12,5383799,2365904,1232486,1133418
13,7578806,3387233,1299837,2087396
14,8644218,4017125,1364145,2652980
15,8823352,4105082,1430736,2674346
16,9042775,4205552,1532398,2673154
17,9225809,4320393,1636986,2683407
18,9374715,4399904,1708484,2691420
19,10399833,4716251,1783303,2932948
20,10843897,5052369,1851334,3201035
21,10988409,5080721,1921921,3158800
22,11919211,5579748,2027779,3551969
23,13065910,6024954,2147622,3877332
24,13211535,6101012,2282054,3818958
25,13570941,6347777,2376981,3970796
26,13991954,6687328,2450436,4236892
27,14307658,6920356,2521028,4399328
28,15728559,7214183,2598624,4615559
29,16208170,7600544,2670593,4929951
30,16542418,7771183,2771830,4999353
31,16713430,7834156,2879348,4954808
32,18737303,8694867,2955535,5739332
33,19170056,9040946,3035328,6005618
34,19502080,9294007,3106878,6187129
35,20329578,9481265,3220137,6261128
36,21232110,10026744,3298928,6727816
37,23286873,11164831,3401536,7763295
38,24715999,11890362,3506675,8383687
39,26632314,12777782,3581875,9195907
40,26873138,12873752,3658764,9214988
41,28206865,13671383,3739501,9931882
42,28501245,13785164,3813087,9972077
43,29838018,14375091,3886552,10488539
44,30507846,14967682,4007920,10959762
45,30779180,15152378,4127525,11024853
46,32151008,15728653,4221181,11507472
47,32762702,15914564,4301287,11613277
48,32876586,15971243,4376783,11594460
49,33942383,16533862,4465499,12068363
50,34059029,16579661,4546186,12033475
51,34490402,16933800,4657344,12276456
52,36124575,17473112,4787384,12685728
53,36432847,17575648,4872292,12703356
54,36847526,17839288,4957145,12882143
55,37056153,17970636,5058168,12912468
56,37266199,18096927,5167605,12929322
57,37578217,18233924,5266737,12967187
58,38161027,18618602,5378373,13240229
59,38835075,19141187,5499887,13641300
60,39497006,19762171,5588278,14173893
61,40033499,20119739,5677607,14442132
62,40310336,20295276,5769063,14526213
63,40469333,20372125,5855577,14516548
64,40651440,20429621,5938203,14491418
65,41078064,20609772,6056143,14553629
66,41230244,20716352,6168885,14547467
67,41946422,21082215,6253413,14828802
68,42160487,21273550,6331748,14941802
69,43095667,21531627,6437932,15093695
70,43874077,21860227,6546003,15314224
71,44792973,22315727,6655229,15660498
72,45736832,22195709,6765321,15430388
73,46242696,22221714,6873369,15348345
74,46881151,22318783,6958291,15360492
75,47591783,22678239,7048472,15629767
76,48504451,23211157,7137421,16073736
77,49142878,23342147,7230178,16111969
78,49856220,23721854,7316075,16405779
79,51837458,23984169,7431101,16553068
80,52773362,24257567,7593138,16664429
81,54583107,24663840,7675411,16988429
82,55729243,25021197,7763506,17257691
83,55819095,25066228,7850236,17215992
84,56114222,25246290,7940514,17305776
85,56516429,25541403,8025342,17516061
86,57364904,25835830,8138384,17697446
87,57519548,25913563,8250402,17663161
88,57671030,25996011,8335645,17680366
89,58860651,26451674,8416898,18074776
90,59521324,27024146,8499801,18564345
