[HIGHEST OVERHEAD] SALARY EXPENSE: 33.78%
[CASH DEFICIT] DAY: 2, AMOUNT: USD391720
[CASH DEFICIT] DAY: 3, AMOUNT: USD993330
[CASH DEFICIT] DAY: 4, AMOUNT: USD1290986
[CASH DEFICIT] DAY: 5, AMOUNT: USD212750
[CASH DEFICIT] DAY: 6, AMOUNT: USD368185
[CASH DEFICIT] DAY: 8, AMOUNT: USD154075
[CASH DEFICIT] DAY: 12, AMOUNT: USD295292
[CASH DEFICIT] DAY: 15, AMOUNT: USD938584
[CASH DEFICIT] DAY: 16, AMOUNT: USD284707
[CASH DEFICIT] DAY: 18, AMOUNT: USD41870
[CASH DEFICIT] DAY: 19, AMOUNT: USD217012
[CASH DEFICIT] DAY: 21, AMOUNT: USD537743
[CASH DEFICIT] DAY: 26, AMOUNT: USD535870
[CASH DEFICIT] DAY: 30, AMOUNT: USD611137
[CASH DEFICIT] DAY: 40, AMOUNT: USD506793
[CASH DEFICIT] DAY: 44, AMOUNT: USD232833
[CASH DEFICIT] DAY: 48, AMOUNT: USD641880
[CASH DEFICIT] DAY: 50, AMOUNT: USD3089
[CASH DEFICIT] DAY: 55, AMOUNT: USD101404
[CASH DEFICIT] DAY: 56, AMOUNT: USD65699
[CASH DEFICIT] DAY: 68, AMOUNT: USD544270
[CASH DEFICIT] DAY: 69, AMOUNT: USD666364
[CASH DEFICIT] DAY: 73, AMOUNT: USD267244
[CASH DEFICIT] DAY: 77, AMOUNT: USD1913329
[CASH DEFICIT] DAY: 78, AMOUNT: USD661269
[CASH DEFICIT] DAY: 84, AMOUNT: USD429968
[CASH DEFICIT] DAY: 87, AMOUNT: USD148898
[CASH DEFICIT] DAY: 88, AMOUNT: USD178901
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD391720
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD174092
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD32665
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD37929
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD12675
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD16016
[PROFIT DEFICIT] DAY: 16, AMOUNT: USD1192
[PROFIT DEFICIT] DAY: 21, AMOUNT: USD42235
[PROFIT DEFICIT] DAY: 24, AMOUNT: USD58374
[PROFIT DEFICIT] DAY: 31, AMOUNT: USD44545
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD18817
[PROFIT DEFICIT] DAY: 50, AMOUNT: USD34888
[PROFIT DEFICIT] DAY: 63, AMOUNT: USD9665
[PROFIT DEFICIT] DAY: 64, AMOUNT: USD25130
[PROFIT DEFICIT] DAY: 66, AMOUNT: USD6162
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD230110
[PROFIT DEFICIT] DAY: 73, AMOUNT: USD82043
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD41699
[PROFIT DEFICIT] DAY: 87, AMOUNT: USD34285
